名次,球队,赛,胜,平,负,积分
1,巴黎圣日耳曼,6,5,0,1,15
2,波尔图,6,4,1,1,13
3,基辅迪纳摩,6,1,2,3,5
4,萨格勒布,6,0,1,5,1
