名次,球队,赛,胜,平,负,积分
1,阿森纳,6,4,2,0,14
2,巴黎圣日耳曼,6,3,3,0,12
3,卢多戈雷茨,6,0,3,3,3
4,巴塞尔,6,0,2,4,2
