名次,球队,赛,胜,平,负,积分
1,拜仁慕尼黑,34,29,4,1,91
2,多特蒙德,34,19,9,6,66
3,勒沃库森,34,19,8,7,65
4,沙尔克04,34,16,7,11,55
5,弗赖堡,34,14,9,11,51
6,法兰克福,34,14,9,11,51
7,汉堡,34,14,6,14,48
8,门兴,34,12,11,11,47
9,汉诺威96,34,13,6,15,45
10,纽伦堡,34,11,11,12,44
11,沃尔夫斯堡,34,10,13,11,43
12,斯图加特,34,12,7,15,43
13,美因茨,34,10,12,12,42
14,不莱梅,34,8,10,16,34
15,奥格斯堡,34,8,9,17,33
16,霍芬海姆,34,8,7,19,31
17,杜塞尔多夫,34,7,9,18,30
18,菲尔特,34,4,9,21,21
