名次,球队,赛,胜,平,负,积分
1,巴黎圣日耳曼,38,24,11,3,83
2,里昂,38,22,9,7,75
3,摩纳哥,38,20,11,7,71
4,马赛,38,21,6,11,69
5,圣埃蒂安,38,19,12,7,69
6,波尔多,38,17,12,9,63
7,蒙彼利埃,38,16,8,14,56
8,里尔,38,16,8,14,56
9,雷恩,38,13,11,14,50
10,甘冈,38,15,4,19,49
11,尼斯,38,13,9,16,48
12,巴斯蒂亚,38,12,11,15,47
13,卡昂,38,12,10,16,46
14,南特,38,11,12,15,45
15,兰斯,38,12,8,18,44
16,洛里昂,38,12,7,19,43
17,图卢兹,38,12,6,20,42
18,埃维昂,38,11,4,23,37
19,梅斯,38,7,9,22,30
20,朗斯,38,7,8,23,29
