名次,球队,赛,胜,平,负,积分
1,切尔西,38,30,3,5,93
2,热刺,38,26,8,4,86
3,曼城,38,23,9,6,78
4,利物浦,38,22,10,6,76
5,阿森纳,38,23,6,9,75
6,曼联,38,18,15,5,69
7,埃弗顿,38,17,10,11,61
8,南安普敦,38,12,10,16,46
9,伯恩茅斯,38,12,10,16,46
10,西布朗,38,12,9,17,45
11,西汉姆联,38,12,9,17,45
12,莱斯特,38,12,8,18,44
13,斯托克城,38,11,11,16,44
14,水晶宫,38,12,5,21,41
15,斯旺西,38,12,5,21,41
16,伯恩利,38,11,7,20,40
17,沃特福德,38,11,7,20,40
18,赫尔城,38,9,7,22,34
19,米德尔斯堡,38,5,13,20,28
20,桑德兰,38,6,6,26,24
