名次,球队,赛,胜,平,负,积分
1,里昂,6,3,3,0,12
1,法兰克福,6,5,0,1,15
1,瓦伦西亚,6,4,1,1,13
1,亨克,6,4,2,0,14
1,卢多戈雷茨,6,5,1,0,16
1,萨尔茨堡红牛,6,6,0,0,18
1,帕奥克,6,3,3,0,12
1,塞维利亚,6,3,3,0,12
1,热刺,6,6,0,0,18
1,佛罗伦萨,6,5,1,0,16
1,特拉布宗,6,4,2,0,14
1,喀山鲁宾,6,4,2,0,14
2,安郅,6,2,2,2,8
2,斯旺西,6,2,2,2,8
2,拉齐奥,6,3,3,0,12
2,基辅迪纳摩,6,3,1,2,10
2,阿尔克马尔,6,3,3,0,12
2,特拉维夫马卡比,6,3,2,1,11
2,皇家贝蒂斯,6,2,3,1,9
2,敖德萨黑海人,6,3,1,2,10
2,马里博尔,6,2,1,3,7
2,利贝雷茨,6,2,3,1,9
2,第聂伯罗,6,4,0,2,12
2,埃斯比约联合,6,4,0,2,12
3,谢里夫,6,1,3,2,6
3,弗赖堡,6,1,3,2,6
3,希腊人竞技,6,1,2,3,5
3,吉马良斯,6,1,2,3,5
3,费雷拉,6,0,3,3,3
3,海法马卡比,6,1,2,3,5
3,维也纳快速,6,1,3,2,6
3,埃尔夫斯堡,6,1,1,4,4
3,库班,6,1,3,2,6
3,利马索尔,6,1,1,4,4
3,埃因霍温,6,2,1,3,7
3,瓦雷赫姆,6,2,1,3,7
4,潘杜特尔,6,0,2,4,2
4,圣加仑,6,2,0,4,6
4,里耶卡,6,0,4,2,4
4,波尔多,6,1,0,5,3
4,标准列日,6,0,1,5,1
4,卡拉甘迪矿工,6,0,2,4,2
4,图恩,6,1,0,5,3
4,萨格勒布,6,0,1,5,1
4,埃斯托里尔,6,0,3,3,3
4,特罗姆索,6,0,1,5,1
4,维冈,6,1,2,3,5
4,华沙莱吉亚,6,1,0,5,3
