名次,球队,赛,胜,平,负,积分
1,拜仁慕尼黑,34,25,4,5,79
2,沃尔夫斯堡,34,20,9,5,69
3,门兴,34,19,9,6,66
4,勒沃库森,34,17,10,7,61
5,奥格斯堡,34,15,4,15,49
6,沙尔克04,34,13,9,12,48
7,多特蒙德,34,13,7,14,46
8,霍芬海姆,34,12,8,14,44
9,法兰克福,34,11,10,13,43
10,不莱梅,34,11,10,13,43
11,美因茨,34,9,13,12,40
12,科隆,34,9,13,12,40
13,汉诺威96,34,9,10,15,37
14,斯图加特,34,9,9,16,36
15,柏林赫塔,34,9,8,17,35
16,汉堡,34,9,8,17,35
17,弗赖堡,34,7,13,14,34
18,帕德伯恩,34,7,10,17,31
