名次,球队,赛,胜,平,负,积分
1,尤文图斯,38,33,3,2,102
2,罗马,38,26,7,5,85
3,那不勒斯,38,23,9,6,78
4,佛罗伦萨,38,19,8,11,65
5,国际米兰,38,15,15,8,60
6,帕尔马,38,15,13,10,58
7,都灵,38,15,12,11,57
8,AC米兰,38,16,9,13,57
9,拉齐奥,38,15,11,12,56
10,维罗纳,38,16,6,16,54
11,亚特兰大,38,15,5,18,50
12,桑普多利亚,38,12,9,17,45
13,乌迪内斯,38,12,8,18,44
14,热那亚,38,11,11,16,44
15,卡利亚里,38,9,12,17,39
16,切沃,38,10,6,22,36
17,萨索洛,38,9,7,22,34
18,卡塔尼亚,38,8,8,22,32
19,博洛尼亚,38,5,14,19,29
20,利沃诺,38,6,7,25,25
