名次,球队,赛,胜,平,负,积分
1,莱斯特,38,23,12,3,81
2,阿森纳,38,20,11,7,71
3,热刺,38,19,13,6,70
4,曼城,38,19,9,10,66
5,曼联,38,19,9,10,66
6,南安普敦,38,18,9,11,63
7,西汉姆联,38,16,14,8,62
8,利物浦,38,16,12,10,60
9,斯托克城,38,14,9,15,51
10,切尔西,38,12,14,12,50
11,埃弗顿,38,11,14,13,47
12,斯旺西,38,12,11,15,47
13,沃特福德,38,12,9,17,45
14,西布朗,38,10,13,15,43
15,水晶宫,38,11,9,18,42
16,伯恩茅斯,38,11,9,18,42
17,桑德兰,38,9,12,17,39
18,纽卡斯尔,38,9,10,19,37
19,诺维奇,38,9,7,22,34
20,阿斯顿维拉,38,3,8,27,17
