名次,球队,赛,胜,平,负,积分
1,巴黎圣日耳曼,38,29,6,3,93
2,摩纳哥,38,24,8,6,80
3,里昂,38,23,9,6,78
4,马赛,38,22,11,5,77
5,雷恩,38,16,10,12,58
6,波尔多,38,16,7,15,55
7,圣埃蒂安,38,15,10,13,55
8,尼斯,38,15,9,14,54
9,南特,38,14,10,14,52
10,蒙彼利埃,38,11,18,9,51
11,第戎,38,13,9,16,48
12,甘冈,38,12,11,15,47
13,亚眠,37,11,9,17,42
14,昂热,38,9,14,15,41
15,斯特拉斯堡,38,9,11,18,38
16,里尔,37,10,8,19,38
17,卡昂,38,10,8,20,38
18,图卢兹,38,9,10,19,37
19,特鲁瓦,38,9,6,23,33
20,梅斯,38,6,8,24,26
