名次,球队,赛,胜,平,负,积分
1,皇家马德里,6,5,1,0,16
2,巴黎圣日耳曼,6,4,1,1,13
3,顿涅茨克矿工,6,1,0,5,3
4,马尔默,6,1,0,5,3
