名次,球队,赛,胜,平,负,积分
1,巴黎圣日耳曼,38,27,8,3,89
2,摩纳哥,38,23,11,4,80
3,里尔,38,20,11,7,71
4,圣埃蒂安,38,20,9,9,69
5,里昂,38,17,10,11,61
6,马赛,38,16,12,10,60
7,波尔多,38,13,14,11,53
8,南特,38,13,10,15,49
9,洛里昂,38,13,10,15,49
10,图卢兹,38,12,13,13,49
11,兰斯,38,12,12,14,48
12,雷恩,38,11,13,14,46
13,巴斯蒂亚,38,12,10,16,46
14,埃维昂,38,11,11,16,44
15,蒙彼利埃,38,8,18,12,42
16,甘冈,38,11,9,18,42
17,尼斯,38,12,6,20,42
18,索肖,38,10,10,18,40
19,瓦朗谢讷,38,7,8,23,29
20,阿雅克肖,38,4,11,23,23
